,titles,price,area,location,time
10,"
                            CHUYÊN BÁN CĂN HỘ, SHOP OFFICE, PENTHOUSE & SKYVILLA VINHOMES SKYLAKE PHẠM HÙNG, GIÁ RẺ NHẤT
                        ",18.5 tỷ,88 m²,"Nam Từ Liêm, Hà Nội","
                                3 ngày trước
                                29/09/2020
"
11,"
                            QUỸ CĂN CHUYỂN NHƯỢNG CHUNG CƯ ROYAL CITY GIÁ TỐT NHẤT THỊ TRƯỜNG. CẬP NHẬT T10/2020 - 0989898684
                        ",3.3 tỷ,66 m²,"Thanh Xuân, Hà Nội","
                                3 ngày trước
                                29/09/2020
"
12,"
                            BÁN CĂN HỘ VINHOMES SKY LAKE 2PN 3PN, QUỸ CĂN CỰC LỚN, CẬP NHẬT NGÀY 29/09. TƯ VẤN - XEM NHÀ 24/7
                        ",3 tỷ,103 m²,"Nam Từ Liêm, Hà Nội","
                                3 ngày trước
                                29/09/2020
"
13,"
                            CHUYÊN BÁN CẮT LỖ CHUNG CƯ ROYAL CITY, XEM NHÀ NGAY 24/7, LIÊN HỆ: 0944.266.333, 0946.053.050
                        ",3.7 tỷ,75 m²,"Thanh Xuân, Hà Nội","
                                3 ngày trước
                                29/09/2020
"
14,"
                            XEM NHÀ 24/7: CHUYÊN BÁN CẮT LỖ CC VINHOMES METROPOLIS GIÁ RẺ NHẤT THỊ TRƯỜNG, LH 0944.266.333
                        ",5.4 tỷ,70 m²,"Ba Đình, Hà Nội","
                                4 ngày trước
                                28/09/2020
"
15,"
                            CHÍNH SÁCH CHIẾT KHẤU SIÊU KHỦNG T10.2020 - BÁO GIÁ GỐC QUỸ CĂN ĐẸP NHẤT TỪ PKD VINHOMES OCEAN PARK
                        ",25 triệu/m²,54 m²,"Gia Lâm, Hà Nội","
                                4 ngày trước
                                28/09/2020
"
16,"
                            BẢNG GIÁ CĂN HỘ GRAND SAPPHIRE - VINHOMES SMART CITY TÂY MỖ ĐẠI MỖ
                        ",1.6 tỷ,143 m²,"Nam Từ Liêm, Hà Nội","
                                4 ngày trước
                                28/09/2020
"
17,"
                            BÁN QUỸ CĂN HỘ CHÍNH SÁCH TỐT GOLDMARK CITY GIÁ TỪ 25TR/M2, THANH TOÁN TIẾN ĐỘ ƯU ĐÃI 3 NĂM
                        ",25 triệu/m²,65.64 m²,"Bắc Từ Liêm, Hà Nội","
                                4 ngày trước
                                28/09/2020
"
18,"
                            BÁN CĂN HỘ, PENTHOUSE, SKYVILLA VINHOMES SKYLAKE PHẠM HÙNG, MỸ ĐÌNH, NAM TỪ LIÊM. LH: 0983786378
                        ",2.6 tỷ,76 m²,"Nam Từ Liêm, Hà Nội","
                                6 ngày trước
                                26/09/2020
"
19,"
                            CĂN GÓC 3PN GRAND SAPPHIRE 2 VIEW BỂ BƠI RESORT, LÃI SUẤT 0% ĐẾN 30/09/2022 VOUCHER VINFAST 200TR
                        ",2.6 tỷ,,"Nam Từ Liêm, Hà Nội","
                                1 tuần trước
                                25/09/2020
"
