,Location,Price,Area,NumberBed,NumberToilet,HuongNha,HuongBanCong,NoiThat,Chudautu,QuyMo,ViDo,KinhDo,LoaiTin
17,"
        Dự án Sunshine City, Đường Phạm Văn Đồng, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội
    ",4000000000.0,116.7,3,2,Nam,Đông,Full nội thất cao cấp dát vàng liền tường.,Công ty CP Tập đoàn Sunshine,69 căn biệt thự liền kề và 1.791 căn hộ,21.0919170379639,105.78500366210899,Tin Vip đặc biệt
18,"
        Mỹ Đình Pearl, Số 1, Đường Châu Văn Liêm, Phường Phú Đô, Nam Từ Liêm, Hà Nội
    ",3800000000.0,104.0,3,2,Đông-Bắc,Tây-Nam,Nội thất cơ bản,Công ty CP tập đoàn S.S.G,"Gồm khách sạn, văn phòng, căn hộ",21.012432098388697,105.76739501953101,Tin Vip đặc biệt
19,"
        Royal City, 72A, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội
    ",5000000000.0,136.0,3,3,Tây-Bắc,Đông-Nam,"Cao cấp sang trọng, điều hòa Daikin loại cao cấp, nóng lạnh đầy đủ.",Tập đoàn Vingroup,Gồm: 6 tòa,21.002666473388697,105.8154296875,Tin Vip đặc biệt
20,"
        Dự án Vinhomes Skylake, Đường Phạm Hùng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội
    ",18500000000.0,380.0,5,4,,,,Tập đoàn Vingroup,,21.0190830230713,105.78173065185499,Tin Vip đặc biệt
21,"
        Dự án Vinhomes Smart City Đại Mỗ, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội
    ",1500000000.0,58.9,2,1,,,,Tập đoàn Vingroup,58 tòa chung cư cao 30-38 tầng,21.0065288543701,105.753555297852,Tin Vip đặc biệt
22,"
        Royal City, 72A, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội
    ",6000000000.0,188.0,3,3,Tây-Bắc,Đông-Nam,"Cao cấp sang trọng, điều hòa Daikin loại cao cấp, nóng lạnh đầy đủ.",Tập đoàn Vingroup,Gồm: 6 tòa,21.002666473388697,105.8154296875,Tin Vip đặc biệt
23,"
        Dự án Vinhomes Smart City Đại Mỗ, Đường Đại lộ Thăng Long, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.
    ",1500000000.0,55.0,2,1,,,"Được bàn giao gói nội thất cơ bản như trần, sàn căn hộ nhà vệ sinh Đi kèm cùng bộ điều hoà Và nhiều chi tiết khác...",Tập đoàn Vingroup,58 tòa chung cư cao 30-38 tầng,21.0065288543701,105.753555297852,Tin Vip đặc biệt
24,"
        Dự án Goldmark City, 136 Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội
    ",2900000000.0,104.0,3,2,,,Đã có nội thất.,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,Tin Vip đặc biệt
25,"
        Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội
    ",3200000000.0,90.0,3,2,,,"Full nội thất liền tường cao cấp: Sàn gỗ trần thạch cao, thiết bị vệ sinh đầy đủ - Điều hòa nóng lạnh âm trần - Bếp, tủ bếp trên, tủ bếp dưới bếp từ hút mùi - Thiết bị thông minh 4.0",Công ty CP Tập đoàn Sunshine,69 căn biệt thự liền kề và 1.791 căn hộ,21.0919170379639,105.78500366210899,Tin Vip đặc biệt
26,"
        Dự án Vinhomes West Point, Đường Phạm Hùng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.
    ",2800000000.0,72.0,2,2,Đông-Nam,Đông-Nam,Full.,Tập đoàn Vingroup,3 tòa tháp cao tầng và trung tâm thương mại,21.0363712310791,105.780860900879,Tin Vip đặc biệt
27,"
        Dự án Sunshine Crystal River, Tây Hồ, Hà Nội
    ",6500000000.0,140.0,3,3,,,Full Nội thất gắn tường thiết kế tiêu chuẩn châu Âu.,Công ty CP Tập đoàn Sunshine,5 tòa tháp biệt thự trên cao sky villas và 60 lô biệt thự,21.083890914917,105.80847930908199,Tin Vip đặc biệt
28,"
        Dự án Vinhomes Smart City Đại Mỗ, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.
    ",883000000.0,34.8,1,1,,,,Tập đoàn Vingroup,58 tòa chung cư cao 30-38 tầng,21.0065288543701,105.753555297852,Tin Vip đặc biệt
29,"
        Dự án Green Park Trần Thủ Độ, Đường Trần Thủ Độ, Phường Hoàng Liệt, Hoàng Mai, Hà Nội
    ",1500000000.0,56.8,2,2,,,Bàn giao nội thất cao cấp cơ bản.,Công ty TNHH MTV đầu tư Phương Đông,"03 tầng hầm, 4 block căn hộ cao từ 24 – 27 tầng",20.9605541229248,105.845962524414,Tin Vip đặc biệt
30,"
        Dự án The Zei Mỹ Đình, Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội.
    ",3500000000.0,92.0,3,2,Tây-Nam,Đông-Bắc,Nội thất liền tường,HD Mon Holdings,891 căn hộ,21.029411315918,105.768753051758,Tin Vip đặc biệt
31,"
        Dự án Royal City, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội
    ",2400000000.0,55.0,2,2,,,,Tập đoàn Vingroup,Gồm: 6 tòa,21.002666473388697,105.8154296875,Tin Vip đặc biệt
32,"
        Dự án Vinhomes Smart City Đại Mỗ, Đường Đại lộ Thăng Long, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.
    ",1500000000.0,55.0,2,1,,,,Tập đoàn Vingroup,58 tòa chung cư cao 30-38 tầng,21.0065288543701,105.753555297852,Tin Vip đặc biệt
33,"
        Dự án Mỹ Đình Pearl, Đường Châu Văn Liêm, Phường Phú Đô, Nam Từ Liêm, Hà Nội
    ",2900000000.0,79.0,2,2,Đông-Bắc,Tây-Nam,"Cơ bản Căn hộ đã hoàn thiện nội thất cơ bản bao gồm: - Cửa chống cháy, khóa cửa Hafele đa chức năng. - Sàn đã cao cấp phòng khách, sàn gỗ phòng ngủ. - Hệ thống cửa kính an toàn Euro Window cách âm cực",Công ty CP tập đoàn S.S.G,"Gồm khách sạn, văn phòng, căn hộ",21.012432098388697,105.76739501953101,Tin Vip đặc biệt
34,"
        Dự án Sun Grand City, 69B Đường Thụy Khuê, Phường Thụy Khuê, Tây Hồ, Hà Nội
    ",7500000000.0,119.0,3,2,Tây-Bắc,Đông-Nam,,Tập đoàn Sun Group,"Gồm 2 tòa S1 (21 tầng nổi và 4 tầng hầm) và S2 ( 23 tầng nổi, 5 tầng hầm)",21.041172027587894,105.825096130371,Tin Vip đặc biệt
35,"
        Dự án Royal City, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội
    ",3300000000.0,88.0,2,2,,Đông-Nam,"Full nội thất nhập khẩu, xách vali về ở ngay.",Tập đoàn Vingroup,Gồm: 6 tòa,21.002666473388697,105.8154296875,Tin Vip đặc biệt
36,"
        Dự án Goldmark City, 136  Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội
    ",2000000000.0,74.55,2,2,Tây-Bắc,Đông-Nam,,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,Tin Vip đặc biệt
37,"
        Dự án Vinhomes Ocean Park Gia Lâm, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội
    ",1575000000.0,59.1,2,1,Tây-Bắc,Đông-Nam,"Bàn giao đầy đủ nội thất gồm: - Trần thạch cao - Hệ thống đèn chiếu sáng - Hệ thống cửa nhà với khóa mã số - Chuông hình - Sàn gỗ phòng ngủ, sàn gạch phòng khách - Thiết bị vệ sinh - Điều hòa.",,"2.300 căn biệt thự, 66 tòa căn hộ",21.0024147033691,105.964111328125,Tin Vip đặc biệt
38,"
        Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội
    ",1200000000.0,43.0,1,1,,,,,"2.300 căn biệt thự, 66 tòa căn hộ",21.0024147033691,105.964111328125,Tin Vip đặc biệt
39,"
        Dự án Goldmark City, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội
    ",3410000000.0,134.0,3,2,Tây-Nam,Đông-Bắc,Bàn giao thô.,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,Tin Vip đặc biệt
40,"
        Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội
    ",1190000000.0,47.0,1,1,,,"Bàn giao đầy đủ nội thất gồm: - Trần thạch cao - Hệ thống đèn chiếu sáng - Hệ thống cửa nhà với khóa mã số - Chuông hình - Sàn gỗ phòng ngủ, sàn gạch phòng khách - Thiết bị vệ sinh - Điều hòa.",,"2.300 căn biệt thự, 66 tòa căn hộ",20.9944016328485,105.94917678833,Tin Vip đặc biệt
42,"
        Dự án Goldmark City, Bắc Từ Liêm, Hà Nội
    ",2050000000.0,84.0,2,2,,,,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,Tin Vip 1
43,"
        Dự án An Bình City, Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội
    ",2850000000.0,89.0,3,2,Đông-Nam,Tây-Nam,,Công ty CP Xuất nhập khẩu tổng hợp Hà Nội - Geleximco,"gồm: 08 tòa chung cư cao 35 tầng (A2, A3, A6, A7) và 28 tầng (A1, A4, A5, A8)",21.0495662689209,105.778594970703,Tin Vip 1
44,"
        Dự án Goldmark City, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội
    ",2050000000.0,68.0,2,2,,,Full nội thất.,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,Tin Vip 1
45,"
        Dự án Vinhomes Green Bay Mễ Trì, Đường Đại lộ Thăng Long, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.
    ",2700000000.0,70.0,2,2,Tây-Nam,,Full.,Tập đoàn Vingroup,Tổ hợp các căn hộ cao cấp,20.998958587646502,105.788032531738,Tin Vip 1
46,"
        Dự án Goldmark City, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội
    ",2100000000.0,84.0,2,2,,,,Công ty TNHH Thương mại - Quảng cáo - Xây dựng - Địa ốc Việt Hân,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,Tin Vip 1
47,"
        Dự án The Zen Residence, Đường Pháp Vân, Phường Hoàng Liệt, Hoàng Mai, Hà Nội
    ",2940000000.0,106.0,3,2,Đông-Nam,Đông-Nam,,Công ty TNHH Gamuda Land Việt Nam,Gồm 3 Block chung cư cao 35 tầng,20.965379714965803,105.850639343262,Tin Vip 1
48,"
        Dự án Vinhomes Ocean Park Gia Lâm, Gia Lâm, Hà Nội
    ",1800000000.0,68.0,2,2,,,"Cơ bản, theo tiêu chuẩn CĐT",,"2.300 căn biệt thự, 66 tòa căn hộ",21.00241470336914,105.964111328125,Tin Vip 1
49,"
        Dự án Vinhomes Green Bay Mễ Trì, Đường Đại lộ Thăng Long, Phường Mễ Trì, Nam Từ Liêm, Hà Nội
    ",4300000000.0,88.4,3,2,,,,Tập đoàn Vingroup,Tổ hợp các căn hộ cao cấp,20.998958587646502,105.788032531738,Tin Vip 1
50,"
        Dự án Times City - Park Hill, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội
    ",3500000000.0,78.0,2,2,,,,Tập đoàn Vingroup,,20.994333267211896,105.86756134033199,Tin Vip 1
51,"
        Dự án Vinhomes West Point, Đường Phạm Hùng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội
    ",4100000000.0,70.0,2,2,,,,Tập đoàn Vingroup,3 tòa tháp cao tầng và trung tâm thương mại,21.0197982788086,105.780708312988,Tin Vip 1
52,"
        Dự án Iris Garden, Đường Trần Hữu Dực, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.
    ",1880000000.0,61.5,2,2,,,"Bàn giao CĐT - Sàn gỗ, trần thạch cao, full nhà vệ sinh ( thiết bị vệ sinh toto, vách kính, tủ để đồ, 2 nóng lạnh) - full điện, nước, ánh sáng - chuông hình đời mới - 1 điều hòa - tặng 1 máy lọc nước",,"Gồm 2 tầng hầm, 5 tháp từ 25-29 tầng",21.0292072296143,105.764450073242,Tin Vip 1
53,"
        Dự án HH3 Linh Đàm, Hoàng Mai, Hà Nội
    ",1140000000.0,65.5,2,2,,,,Doanh nghiệp tư nhân xây dựng số 1 tỉnh Điện Biên,Gồm 3 tòa cao 35 tầng,20.963598251342773,105.82803344726562,Tin Vip 1
54,"
        Dự án TSG Lotus Sài Đồng, Long Biên, Hà Nội
    ",2220000000.0,86.0,3,2,,,,,"Chung cư cao 25 tầng và 4 tầng hầm, 30 lô Kiot thương mại, 21 căn Shophouse",21.0409755706787,105.91366577148399,Tin Vip 1
55,"
        Phường Khương Đình, Thanh Xuân, Hà Nội
    ",1190000000.0,53.0,2,2,,,"Trần thạch cao, tủ bếp cao cấp, điều hòa, bình nóng lạnh, vòi sen đầy đủ, đường truyền hình cáp, internet",,,20.9898638136009,105.820247106858,Tin Vip 1
56,"
        Dự án Sunshine Riverside, Đường Võ Chí Công, Phường Phú Thượng, Tây Hồ, Hà Nội
    ",3300000000.0,99.0,3,2,,,"Trần thạch cao, nẹp phào tường, sàn gỗ, khóa từ kỹ thuật số, tủ bếp, bếp từ, hút mùi, chậu rửa, sen vòi, thiết bị bếp, thiết bị nhà tắm đầy đủ, bình nóng lạnh điều hòa âm trần, đèn chùm, đèn led...",Công ty CP Đầu tư Phú Thượng ,,21.081007003784197,105.81809234619101,Tin Vip 1
57,"
        Tràng An Complex, Số 91, Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội
    ",3200000000.0,80.6,2,2,Bắc,Nam,,Công ty CP Đầu tư Dầu khí Toàn cầu ,"Gồm 1 tòa nhà hỗn hợp cao 14 tầng, 2 tòa chung cư cao cấp CT1 (23 tầng) và CT2 (29 tầng), 20 căn liền kề và 11 căn biệt thự",21.0443725585938,105.80323028564501,Tin Vip 1
58,"
        Dự án The Emerald, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội
    ",2500000000.0,74.0,2,2,,,"Nội thất đa dạng từ nguyên bản chủ đầu tư, cơ bản đã lắp tủ bếp, điều hòa hoặc đầy đủ nội thất.",,Gồm 2 khối nhà cao 30 tầng,21.022161483764602,105.771797180176,Tin Vip 1
59,"
        Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội
    ",1500000000.0,54.1,2,1,Tây-Bắc,Đông-Nam,"Trần, sàn, tường hoàn thiện thiết bị vệ sinh điều hòa hệ thống đèn, điện chiếu sáng.",,"2.300 căn biệt thự, 66 tòa căn hộ",21.0024147033691,105.964111328125,Tin Vip 1
60,"
        Dự án Panorama Hoàng Văn Thụ, Hoàng Mai, Hà Nội, feliz home, feliz homes hoàng mai, imperia sky garden, imperial plaza, hòa phát tân mai, mandarin garden, hinode city, chung cư đền lừ
    ",2400000000.0,76.0,2,2,,,,,,20.98483657836914,105.85985565185548,Tin Vip 1
61,"
        Dự án Vinhomes Gardenia, Đường Hàm Nghi, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội.
    ",4300000000.0,119.0,3,2,Đông-Nam,Tây-Bắc,Đồ liền tường.,Tập đoàn Vingroup,"19 căn / sàn; gồm 2 sảnh A và B; sảnh A:9 căn, sảnh B:10 căn và các căn biệt thự, liền kề",21.0365676879883,105.760482788086,Tin Vip 1
62,"
        MHD Trung Văn, 29, Đường Tố Hữu, Phường Trung Văn, Nam Từ Liêm, Hà Nội
    ",945000000.0,72.0,3,2,Đông-Nam,Tây-Bắc,"Bàn giao thô, đã hoàn thiện toàn bộ mặt ngoài của tòa nhà, tất cả các khu vực sử dụng chung hành lang, thang máy, tầng thương mại...",,2 tháp cao 22-24 tầng,20.9919548034668,105.785102844238,Tin Vip 1
63,"
        Dự án Sunshine Garden, Hai Bà Trưng, Hà Nội
    ",3148000000.0,107.0,3,2,Nam,Bắc,Bàn giao nội thất liền tường nhập khẩu châu Âu,Công ty CP Tập đoàn Sunshine,3 block cao 31 tầng,20.996685028076172,105.87384796142578,Tin Vip 1
64,"
        Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội
    ",2800000000.0,80.3,2,2,,,Full nội thất dát vàng của chủ đầu tư.,Công ty CP Tập đoàn Sunshine,69 căn biệt thự liền kề và 1.791 căn hộ,21.0919170379639,105.78500366210899,Tin Vip 1
65,"
        Dự án Sunshine Garden, Đường Dương Văn Bé, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội
    ",3200000000.0,108.0,3,2,Nam,Bắc,"Bàn giao đầy đủ nội thất liền tường cao cấp: Tường sơn, sàn lát hoàn thiện - Điều hoà Daikin, đèn Phillips âm trần - Thiết bị bếp Hafele - Thiết bị vệ sinh Kohler - Công tắc thông minh Sunshine Tech..",Công ty CP Tập đoàn Sunshine,3 block cao 31 tầng,20.996685028076197,105.873847961426,Tin Vip 1
66,"
        Green Park Trần Thủ Độ, số 1, Đường Trần Thủ Độ, Phường Hoàng Liệt, Hoàng Mai, Hà Nội
    ",1550000000.0,56.8,2,2,Tây-Bắc,Đông-Nam,"Sàn gỗ công nghiệp, trần thạch cao, thiết bị chiếu sáng, hệ thống cửa, thiết bị vệ sinh, bình nóng lạnh, khoá cơ + từ + số và hệ thống đầu chờ bếp, điều hoà.",Công ty TNHH MTV đầu tư Phương Đông,"03 tầng hầm, 4 block căn hộ cao từ 24 – 27 tầng",20.9605541229248,105.845962524414,Tin Vip 1
67,"
        Dự án Vinhomes Ocean Park Gia Lâm, Xã Đa Tốn, Gia Lâm, Hà Nội
    ",1300000000.0,25.0,1,2,,,"Nội thất bàn giao cao cấp full: + Sàn gỗ, trần thạch cao (cao 3 m) + Thiết bị vệ sinh Kohler, điều hòa Daikin, tủ bếp Hafele",,"2.300 căn biệt thự, 66 tòa căn hộ",21.0024147033691,105.964111328125,Tin Vip 1
68,"
        Dự án Nhà ở cho CBCS Bộ Công an, 43 Đường Phạm Văn Đồng, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội
    ",3300000000.0,122.0,3,2,Tây-Bắc,Đông-Nam,Full nội thất cao cấp.,,05 tòa nhà 25 - 30 tầng,21.047119140625,105.78136444091801,Tin Vip 1
69,"
        Dự án Times City - Park Hill, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội
    ",3800000000.0,118.0,3,2,Bắc,Nam,"Sàn gỗ cao cấp, điều hòa âm trần, tủ âm tường, thiết bị vệ sinh, thiết bị chiếu sáng, hệ thống đèn trang trí, chuông hình, bếp, tủ bếp, hệ thống hút mùi...",Tập đoàn Vingroup,,20.994333267211896,105.86756134033199,Tin Vip 1
70,"
        Dự án Bea Sky, Đường Nguyễn Xiển, Phường Đại Kim, Hoàng Mai, Hà Nội
    ",2330000000.0,69.0,2,2,Đông-Nam,Tây-Bắc,"- Khóa từ 3 chức năng, cửa chống cháy, sàn gỗ công nghiệp 12mm, trần thạch cao. - Full nội thất vệ sinh. - Full nội thất bếp. - Điều hòa Daikin phòng khách và các phòng ngủ. + Hệ thống đèn trần.",,Tòa tháp cao 26 tầng,20.9739685058594,105.82169342041,Tin Vip 1
71,"
        D’. Le Roi Soleil - Quảng An, 59, Đường Xuân Diệu, Phường Quảng An, Tây Hồ, Hà Nội
    ",5300000000.0,88.0,2,2,,,Nội thất cơ bản.,Tân Hoàng Minh Group,"Gồm 2 tòa tháp căn hộ cao 25 tầng, 1 tòa tháp dịch vụ 8 tầng và 5 tầng hầm",21.064899444580103,105.827049255371,Tin Vip 1
72,"
        Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội
    ",1700000000.0,70.0,2,2,,,,,"2.300 căn biệt thự, 66 tòa căn hộ",21.0024147033691,105.964111328125,Tin Vip 1
73,"
        Ngõ 10, Phố Phan Văn Trường, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội
    ",1490000000.0,75.0,2,2,,,,,,21.0371049,105.7860054,Tin Vip 1
