Location,Price,Area,NumberBed,NumberToilet,HuongNha,HuongBanCong,NoiThat,Chudautu,QuyMo,ViDo,KinhDo,LoaiTin,Quan
"
        Dự án Goldmark City, 136 Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội
    ",2900000000.0,104.0,3,2,7,6,2,245,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,4,1038
"
        Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội
    ",3200000000.0,90.0,3,2,7,6,0,366,69 căn biệt thự liền kề và 1.791 căn hộ,21.0919170379639,105.78500366210899,4,1038
"
        Dự án Vinhomes West Point, Đường Phạm Hùng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.
    ",2800000000.0,72.0,2,2,6,6,1,1403,3 tòa tháp cao tầng và trung tâm thương mại,21.0363712310791,105.780860900879,4,1538
"
        Dự án Sunshine Crystal River, Tây Hồ, Hà Nội
    ",6500000000.0,140.0,3,3,6,7,1,366,5 tòa tháp biệt thự trên cao sky villas và 60 lô biệt thự,21.083890914917,105.80847930908199,4,877
"
        Dự án Vinhomes Smart City Đại Mỗ, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.
    ",883000000.0,34.8,1,1,6,7,1,1403,58 tòa chung cư cao 30-38 tầng,21.0065288543701,105.753555297852,4,1538
"
        Dự án Green Park Trần Thủ Độ, Đường Trần Thủ Độ, Phường Hoàng Liệt, Hoàng Mai, Hà Nội
    ",1500000000.0,56.8,2,2,6,7,0,75,"03 tầng hầm, 4 block căn hộ cao từ 24 – 27 tầng",20.9605541229248,105.845962524414,4,1134
"
        Dự án The Zei Mỹ Đình, Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội.
    ",3500000000.0,92.0,3,2,8,5,2,64,891 căn hộ,21.029411315918,105.768753051758,4,1538
"
        Dự án Royal City, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội
    ",2400000000.0,55.0,2,2,8,5,2,1403,Gồm: 6 tòa,21.002666473388697,105.8154296875,4,1151
"
        Dự án Vinhomes Smart City Đại Mỗ, Đường Đại lộ Thăng Long, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.
    ",1500000000.0,55.0,2,1,8,5,2,1403,58 tòa chung cư cao 30-38 tầng,21.0065288543701,105.753555297852,4,1538
"
        Dự án Mỹ Đình Pearl, Đường Châu Văn Liêm, Phường Phú Đô, Nam Từ Liêm, Hà Nội
    ",2900000000.0,79.0,2,2,5,8,0,43,"Gồm khách sạn, văn phòng, căn hộ",21.012432098388697,105.76739501953101,4,1538
"
        Dự án Sun Grand City, 69B Đường Thụy Khuê, Phường Thụy Khuê, Tây Hồ, Hà Nội
    ",7500000000.0,119.0,3,2,7,6,0,160,"Gồm 2 tòa S1 (21 tầng nổi và 4 tầng hầm) và S2 ( 23 tầng nổi, 5 tầng hầm)",21.04117202758789,105.825096130371,4,877
"
        Dự án Royal City, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội
    ",3300000000.0,88.0,2,2,7,6,1,1403,Gồm: 6 tòa,21.002666473388697,105.8154296875,4,1151
"
        Dự án Goldmark City, 136  Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội
    ",2000000000.0,74.55,2,2,7,6,1,245,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,4,1038
"
        Dự án Vinhomes Ocean Park Gia Lâm, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội
    ",1575000000.0,59.1,2,1,7,6,1,1,"2.300 căn biệt thự, 66 tòa căn hộ",21.0024147033691,105.964111328125,4,361
"
        Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội
    ",1200000000.0,43.0,1,1,7,6,1,1,"2.300 căn biệt thự, 66 tòa căn hộ",21.0024147033691,105.964111328125,4,361
"
        Dự án Goldmark City, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội
    ",3410000000.0,134.0,3,2,8,5,2,245,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,4,1038
"
        Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội
    ",1190000000.0,47.0,1,1,8,5,1,1,"2.300 căn biệt thự, 66 tòa căn hộ",20.9944016328485,105.94917678833,4,361
"
        Dự án Goldmark City, Bắc Từ Liêm, Hà Nội
    ",2050000000.0,84.0,2,2,8,5,1,245,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,1,1038
"
        Dự án An Bình City, Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội
    ",2850000000.0,89.0,3,2,6,8,1,286,"gồm: 08 tòa chung cư cao 35 tầng (A2, A3, A6, A7) và 28 tầng (A1, A4, A5, A8)",21.0495662689209,105.778594970703,1,1038
"
        Dự án Goldmark City, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội
    ",2050000000.0,68.0,2,2,6,7,1,245,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,1,1038
"
        Dự án Vinhomes Green Bay Mễ Trì, Đường Đại lộ Thăng Long, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.
    ",2700000000.0,70.0,2,2,8,5,1,1403,Tổ hợp các căn hộ cao cấp,20.998958587646502,105.788032531738,1,1538
"
        Dự án Goldmark City, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội
    ",2100000000.0,84.0,2,2,8,5,1,245,"Gồm 4 tòa nhà chính: Ánh Sáng, Ruby, Sapphire, Nước",21.0403366088867,105.76758575439501,1,1038
"
        Dự án The Zen Residence, Đường Pháp Vân, Phường Hoàng Liệt, Hoàng Mai, Hà Nội
    ",2940000000.0,106.0,3,2,6,6,1,105,Gồm 3 Block chung cư cao 35 tầng,20.965379714965803,105.850639343262,1,1134
"
        Dự án Vinhomes Ocean Park Gia Lâm, Gia Lâm, Hà Nội
    ",1800000000.0,68.0,2,2,6,7,2,1,"2.300 căn biệt thự, 66 tòa căn hộ",21.00241470336914,105.964111328125,1,361
"
        Dự án Vinhomes Green Bay Mễ Trì, Đường Đại lộ Thăng Long, Phường Mễ Trì, Nam Từ Liêm, Hà Nội
    ",4300000000.0,88.4,3,2,6,7,2,1403,Tổ hợp các căn hộ cao cấp,20.998958587646502,105.788032531738,1,1538
"
        Dự án Times City - Park Hill, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội
    ",3500000000.0,78.0,2,2,6,7,2,1403,,20.994333267211896,105.86756134033199,1,864
"
        Dự án Vinhomes West Point, Đường Phạm Hùng, Phường Mễ Trì, Nam Từ Liêm, Hà Nội
    ",4100000000.0,70.0,2,2,6,7,2,1403,3 tòa tháp cao tầng và trung tâm thương mại,21.0197982788086,105.780708312988,1,1538
"
        Dự án Iris Garden, Đường Trần Hữu Dực, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.
    ",1880000000.0,61.5,2,2,6,7,1,1,"Gồm 2 tầng hầm, 5 tháp từ 25-29 tầng",21.0292072296143,105.764450073242,1,1538
"
        Dự án HH3 Linh Đàm, Hoàng Mai, Hà Nội
    ",1140000000.0,65.5,2,2,6,7,1,447,Gồm 3 tòa cao 35 tầng,20.963598251342773,105.82803344726562,1,1134
"
        Dự án TSG Lotus Sài Đồng, Long Biên, Hà Nội
    ",2220000000.0,86.0,3,2,6,7,1,1,"Chung cư cao 25 tầng và 4 tầng hầm, 30 lô Kiot thương mại, 21 căn Shophouse",21.0409755706787,105.91366577148399,1,658
"
        Phường Khương Đình, Thanh Xuân, Hà Nội
    ",1190000000.0,53.0,2,2,6,7,0,1,,20.9898638136009,105.820247106858,1,1151
"
        Dự án Sunshine Riverside, Đường Võ Chí Công, Phường Phú Thượng, Tây Hồ, Hà Nội
    ",3300000000.0,99.0,3,2,6,7,1,151,,21.081007003784197,105.81809234619101,1,877
"
        Tràng An Complex, Số 91, Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội
    ",3200000000.0,80.6,2,2,4,3,1,43,"Gồm 1 tòa nhà hỗn hợp cao 14 tầng, 2 tòa chung cư cao cấp CT1 (23 tầng) và CT2 (29 tầng), 20 căn liền kề và 11 căn biệt thự",21.0443725585938,105.80323028564501,1,1034
"
        Dự án The Emerald, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội
    ",2500000000.0,74.0,2,2,4,3,1,1,Gồm 2 khối nhà cao 30 tầng,21.022161483764602,105.771797180176,1,1538
"
        Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội
    ",1500000000.0,54.1,2,1,7,6,2,1,"2.300 căn biệt thự, 66 tòa căn hộ",21.0024147033691,105.964111328125,1,361
"
        Dự án Panorama Hoàng Văn Thụ, Hoàng Mai, Hà Nội, feliz home, feliz homes hoàng mai, imperia sky garden, imperial plaza, hòa phát tân mai, mandarin garden, hinode city, chung cư đền lừ
    ",2400000000.0,76.0,2,2,7,6,2,1,,20.98483657836914,105.85985565185548,1,1134
"
        Dự án Vinhomes Gardenia, Đường Hàm Nghi, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội.
    ",4300000000.0,119.0,3,2,6,7,2,1403,"19 căn / sàn; gồm 2 sảnh A và B; sảnh A:9 căn, sảnh B:10 căn và các căn biệt thự, liền kề",21.0365676879883,105.760482788086,1,1538
"
        MHD Trung Văn, 29, Đường Tố Hữu, Phường Trung Văn, Nam Từ Liêm, Hà Nội
    ",945000000.0,72.0,3,2,6,7,2,1,2 tháp cao 22-24 tầng,20.9919548034668,105.785102844238,1,1538
"
        Dự án Sunshine Garden, Hai Bà Trưng, Hà Nội
    ",3148000000.0,107.0,3,2,3,4,2,366,3 block cao 31 tầng,20.996685028076172,105.87384796142578,1,864
"
        Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội
    ",2800000000.0,80.3,2,2,3,4,1,366,69 căn biệt thự liền kề và 1.791 căn hộ,21.0919170379639,105.78500366210899,1,1038
"
        Dự án Sunshine Garden, Đường Dương Văn Bé, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội
    ",3200000000.0,108.0,3,2,3,4,0,366,3 block cao 31 tầng,20.996685028076197,105.873847961426,1,864
"
        Green Park Trần Thủ Độ, số 1, Đường Trần Thủ Độ, Phường Hoàng Liệt, Hoàng Mai, Hà Nội
    ",1550000000.0,56.8,2,2,7,6,2,75,"03 tầng hầm, 4 block căn hộ cao từ 24 – 27 tầng",20.9605541229248,105.845962524414,1,1134
"
        Dự án Vinhomes Ocean Park Gia Lâm, Xã Đa Tốn, Gia Lâm, Hà Nội
    ",1300000000.0,25.0,1,2,7,6,0,1,"2.300 căn biệt thự, 66 tòa căn hộ",21.0024147033691,105.964111328125,1,361
"
        Dự án Nhà ở cho CBCS Bộ Công an, 43 Đường Phạm Văn Đồng, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội
    ",3300000000.0,122.0,3,2,7,6,0,1,05 tòa nhà 25 - 30 tầng,21.047119140625,105.78136444091801,1,1038
"
        Dự án Times City - Park Hill, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội
    ",3800000000.0,118.0,3,2,4,3,0,1403,,20.994333267211896,105.86756134033199,1,864
"
        Dự án Bea Sky, Đường Nguyễn Xiển, Phường Đại Kim, Hoàng Mai, Hà Nội
    ",2330000000.0,69.0,2,2,6,7,1,1,Tòa tháp cao 26 tầng,20.9739685058594,105.82169342041,1,1134
"
        D’. Le Roi Soleil - Quảng An, 59, Đường Xuân Diệu, Phường Quảng An, Tây Hồ, Hà Nội
    ",5300000000.0,88.0,2,2,6,7,2,285,"Gồm 2 tòa tháp căn hộ cao 25 tầng, 1 tòa tháp dịch vụ 8 tầng và 5 tầng hầm",21.064899444580103,105.827049255371,1,877
"
        Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội
    ",1700000000.0,70.0,2,2,6,7,2,1,"2.300 căn biệt thự, 66 tòa căn hộ",21.0024147033691,105.964111328125,1,361
"
        Ngõ 10, Phố Phan Văn Trường, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội
    ",1490000000.0,75.0,2,2,6,7,2,1,,21.0371049,105.7860054,1,1034
"
        70, Đường Võ Thị Sáu, Hai Bà Trưng, Hà Nội
    ",3800000000.0,76.8,3,1,8,5,2,1,,21.005802600000006,105.8549049,1,864
"
        Dự án Eco City Việt Hưng, Phường Giang Biên, Long Biên, Hà Nội
    ",2600000000.0,87.0,3,2,8,5,1,37,"Gồm 4 tòa tháp A, B, C, D có chung khối đế và 1 tầng hầm",21.0577354431152,105.91335296630899,1,658
"
        Times City, 458, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội
    ",3050000000.0,81.0,2,2,4,3,1,1403,Gồm 11 tòa (T1-T11),20.9947910308838,105.86784362792999,1,864
"
        Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội
    ",4200000000.0,117.0,3,2,4,3,1,366,69 căn biệt thự liền kề và 1.791 căn hộ,21.0919170379639,105.78500366210899,1,1038
"
        Dự án Ciputra Hà Nội, Đường Lạc Long Quân, Phường Phú Thượng, Tây Hồ, Hà Nội.
    ",3800000000.0,153.0,4,2,7,6,2,92,"Gồm: 50 toà nhà cao tầng, 2.500 căn nhà ở thấp tầng (biệt thự) và các tổ hợp văn phòng, trung tâm thương mại, trung tâm mua sắm và giải trí",21.072135925293,105.810997009277,1,877
"
        Dự án Mỹ Đình I, Đường Nguyễn Cơ Thạch, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội
    ",1900000000.0,85.0,2,2,7,6,1,39,Gồm các tòa nhà cao tầng và nhà thấp tầng,21.0341358184814,105.764106750488,1,1538
"
        Dự án Hateco Apollo, Đường 70, Phường Phương Canh, Nam Từ Liêm, Hà Nội
    ",2300000000.0,86.0,3,2,4,3,2,24,"3 tòa nhà chung cư 25 tầng, 83 căn biệt thự liền kề cao 3-4 tầng",21.035062789917,105.74966430664101,1,1538
"
        Dự án Green Park Trần Thủ Độ, Đường Trần Thủ Độ, Phường Hoàng Liệt, Hoàng Mai, Hà Nội
    ",1776000000.0,79.2,2,2,4,3,2,75,"03 tầng hầm, 4 block căn hộ cao từ 24 – 27 tầng",20.9605541229248,105.845962524414,1,1134
"
        Dự án Masteri Water Front, Đường Quốc Lộ 5B, Xã Đa Tốn, Gia Lâm, Hà Nội
    ",1400000000.0,25.5,1,2,4,3,2,1,6 Tòa tháp căn hộ cao từ 30-38 tầng,20.9919490814209,105.940048217773,1,361
"
        Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội
    ",1790000000.0,70.0,2,2,5,6,2,1,"2.300 căn biệt thự, 66 tòa căn hộ",20.99167709089255,105.94437026977538,1,361
"
        Dự án Tecco Diamond, đường Tứ Hiệp, Xã Tứ Hiệp, Thanh Trì, Hà Nội
    ",1400000000.0,63.7,2,2,5,8,1,1,2 block cao 25 tầng,20.938102722168,105.852249145508,1,207
"
        Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội
    ",5500000000.0,116.0,3,2,5,8,1,366,69 căn biệt thự liền kề và 1.791 căn hộ,21.0919170379639,105.78500366210899,1,1038
"
        Dự án Ciputra Hà Nội, Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội
    ",5600000000.0,153.0,4,4,5,8,1,92,"Gồm: 50 toà nhà cao tầng, 2.500 căn nhà ở thấp tầng (biệt thự) và các tổ hợp văn phòng, trung tâm thương mại, trung tâm mua sắm và giải trí",21.072135925293,105.810997009277,1,877
"
        Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội
    ",2600000000.0,75.0,2,2,5,8,1,1403,Gồm 11 tòa (T1-T11),20.9947910308838,105.86784362792999,1,864
"
        Dự án Ciputra Hà Nội, đường Nguyễn Hoàng Tôn, Phường Phú Thượng, Tây Hồ, Hà Nội
    ",3500000000.0,145.0,3,2,8,5,1,92,"Gồm: 50 toà nhà cao tầng, 2.500 căn nhà ở thấp tầng (biệt thự) và các tổ hợp văn phòng, trung tâm thương mại, trung tâm mua sắm và giải trí",21.072135925293,105.810997009277,1,877
"
        Dự án Vinhomes Metropolis - Liễu Giai, 29 Phố Liễu Giai, Phường Ngọc Khánh, Ba Đình, Hà Nội
    ",4000000000.0,56.0,1,2,8,5,1,1,"Gồm 2 tòa tháp cao 30 tầng, 6 tầng TTTM, 6 tầng hầm",21.033269882202106,105.816703796387,1,255
"
        Dự án Tòa Tháp Thiên Niên Kỷ, Hà Đông, Hà Nội
    ",2100000000.0,90.0,3,2,7,6,0,67,Cao 44 tầng và 3 tầng hầm,20.9733200073242,105.778282165527,1,1376
"
        Iris Garden, 30, Đường Trần Hữu Dực, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội
    ",3900000000.0,133.0,3,2,8,6,2,1,"Gồm 2 tầng hầm, 5 tháp từ 25-29 tầng",21.0292072296143,105.764450073242,1,1538
"
        Dự án Vinhomes Skylake, Đường Phạm Hùng, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội
    ",2600000000.0,65.64,2,2,5,8,2,1403,,21.0201683044434,105.78075408935499,1,1538
"
        Dự án Mipec Rubik 360, Đường Xuân Thủy, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội
    ",3100000000.0,83.0,2,2,5,8,0,84,2 tháp cao 35 tầng và 9 lô biệt thự,21.0371532440186,105.786338806152,1,1034
"
        Rose Town, 79, Đường Ngọc Hồi, Phường Hoàng Liệt, Hoàng Mai, Hà Nội
    ",2200000000.0,88.0,3,2,5,8,0,1,,20.956588745117198,105.844886779785,1,1134
"
        Dự án D' EL Dorado, 298 Đường Võ Chí Công, Phường Xuân La, Tây Hồ, Hà Nội
    ",1900000000.0,38.0,1,2,5,8,1,285,Gồm 1 tòa nhà cap 27 tầng và 3 tầng hầm,21.069709777832,105.811210632324,1,877
"
        Dự án Vinhomes Metropolis - Liễu Giai, Phố Liễu Giai, Phường Ngọc Khánh, Ba Đình, Hà Nội
    ",5300000000.0,80.0,2,2,5,8,1,1,"Gồm 2 tòa tháp cao 30 tầng, 6 tầng TTTM, 6 tầng hầm",21.0317993164063,105.814193725586,1,255
"
        Imperia Sky Garden, 423, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội
    ",2700000000.0,74.83,2,2,5,8,1,61,Gồm 27 tầng nổi và 3 tầng hầm,20.9984378814697,105.866737365723,1,864
"
        Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội
    ",2900000000.0,90.0,2,2,4,6,2,1403,Gồm 11 tòa (T1-T11),20.9947910308838,105.86784362792999,1,864
"
        Dự án An Bình City, Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội
    ",2500000000.0,72.0,2,2,4,3,2,286,"gồm: 08 tòa chung cư cao 35 tầng (A2, A3, A6, A7) và 28 tầng (A1, A4, A5, A8)",21.0495662689209,105.778594970703,1,1038
"
        Dự án HH4 Linh Đàm, Đường Linh Đường, Phường Hoàng Liệt, Hoàng Mai, Hà Nội
    ",1150000000.0,63.0,2,2,4,3,0,447,"Tổng diện tích mặt sàn 87.803m2, gồm 3 tòa chung cư HH4A, HH4B, HH4C",20.963314056396502,105.82673645019501,1,1134
"
        Dự án X2 Mỹ Đình, Nam Từ Liêm, Hà Nội
    ",1550000000.0,62.3,2,2,4,3,0,40,"02 chung cư cao 6 tầng, gồm 132 căn hộ độc lập và khép kín",21.0345783233643,105.76812744140601,1,1538
"
        Dự án Vinhomes D'Capitale, Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội
    ",1500000000.0,38.0,1,1,7,6,0,285,Gồm 4 tòa căn hộ và 2 tòa văn phòng,21.0058059692383,105.79437255859399,1,1034
"
        Dự án FLC Garden City, Đường 70, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội
    ",900000000.0,63.0,2,2,7,6,2,106,"Gồm: nhà ở, biệt thự,",20.991436004638697,105.756065368652,1,1538
"
        Dự án The Matrix One, Đường Lê Quang Đạo, Phường Mễ Trì, Nam Từ Liêm, Hà Nội
    ",4500000000.0,88.0,2,2,7,6,0,1,,21.0099925994873,105.773422241211,1,1538
"
        Dự án Imperia Sky Garden, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội
    ",3600000000.0,87.97,3,2,7,6,2,61,Gồm 27 tầng nổi và 3 tầng hầm,20.9984378814697,105.866737365723,1,864
"
        Dự án Times City - Park Hill, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội
    ",3200000000.0,76.0,2,2,7,6,2,1403,,20.994333267211896,105.86756134033199,1,864
"
        Dự án Vinhomes West Point, Đường Đỗ Đức Dục, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.
    ",3700000000.0,107.0,2,2,7,6,1,1403,3 tòa tháp cao tầng và trung tâm thương mại,21.01176532142601,105.78645062446604,1,1538
