TITLE,Dia Chi,Loai Thong Tin,So Phong Ngu,So Toilet,Huong Nha,Ban Cong,Muc Gia,Dien Tich,Ngay Dang,Anh chup
" 100% rẻ nhất thị trường, bán gấp căn 2PN, 79m2 tại Park Hill, giá cực sốc chỉ 3 tỷ bao phí",,,,,,,3 tỷ,79 m²,01/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/08/20/20200820141053-1b82_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/08/20/20200820141054-fc86_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/08/20/20200820141052-2fc7_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/08/20/20200820141052-fb79_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/08/20/20200820141052-e49b_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/08/20/20200820141053-f2a7_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/08/20/20200820141053-9fed_wm.jpg']"
" 100% rẻ nhất thị trường, bán gấp căn 2PN, 79m2 tại Park Hill, giá cực sốc chỉ 3 tỷ bao phí",,,,,,,3 tỷ,79 m²,01/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/09/05/20200905083543-472c_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/05/20200905083543-7c5e_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/05/20200905083543-3a2d_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/05/20200905083543-316f_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/05/20200905083543-9838_wm.jpg']"
 2 căn duy nhất khấu đến 700tr Sunshine Garden - trực tiếp CĐT - view đẹp hướng mát - 0968.728.325,,,,,,,3.05 tỷ,112 m²,03/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/05/14/20200514090017-66de_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/05/14/20200514090113-bd2e_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/05/14/20200514090122-b688_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/05/14/20200514090136-a284_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/05/14/20200514090143-25a5_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/05/14/20200514090220-03d9_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/05/14/20200514090220-5ca0_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/05/14/20200514090220-019b_wm.jpg']"
" 2020-QUỸ CĂN BÁN CHUNG CƯ TIMES CITY PARK HILL GIÁ RẺ, CẦM CỐ NGÂN HÀNG, SANG TÊN SỔ ĐỎ, MPDV 100%",,,,,,,2.9 tỷ,95 m²,29/09/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2018/07/01/20180701102503-5de8_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/06/15/20200615115019-4d40_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/06/15/20200615115019-90d8_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/06/15/20200615115019-2df1_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/06/15/20200615115019-089c_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/06/15/20200615115019-d561_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/06/15/20200615115019-723d_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/06/15/20200615115019-f76b_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/06/15/20200615115019-4103_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/06/15/20200615115019-7ed7_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/06/15/20200615115020-481c_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/06/15/20200615115020-e60e_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/06/15/20200615115020-6598_wm.jpg']"
" 3 căn ngoại giao cuối cùng từ CĐT Sunshine, giá rẻ hơn thị trường tới 20%. LH 0968452627",,,,,,,Thỏa thuận,,01/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/09/23/20200923122225-41c6_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/23/20200923122224-814f_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/23/20200923122224-e5c7_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/23/20200923122224-bb0f_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/23/20200923122224-bffc_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/23/20200923122225-c723_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/23/20200923122225-6c64_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/23/20200923122225-ee69_wm.jpg']"
" 4,1 tỷ mua được ngay căn hộ 110m2 - 3 phòng ngủ - tòa T06 - Times City",,,,,,,4.1 tỷ,110 m²,06/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/06/20201006112102-6b9d_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/06/20201006112108-e237_wm.jpg']"
" 4,1 tỷ mua được ngay căn hộ 110m2 - 3 phòng ngủ - tòa T06 - Times City",,,,,,,4.1 tỷ,110 m²,05/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005172448-3568_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005172457-5583_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005172505-6314_wm.jpg']"
" An tâm - chất lượng chỉ có tại Park Hill Times City, mua ngay căn hộ 2PN, giá siêu rẻ: 2,7 tỷ",,,,,,,2.7 tỷ,2 PN,05/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005194934-aebd_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005194939-7d5a_wm.jpg']"
" Ảnh thật chính chủ bán căn hộ tập thể E3 Bách Khoa, mặt phố Lê Thanh Nghị, 55m2, giá chỉ 1,73 tỷ",,,,,,,1.73 tỷ,55 m²,02/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/09/16/20200916180549-da72_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/16/20200916180549-cca1_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/16/20200916180549-85d7_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/16/20200916180549-47fa_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/16/20200916180549-8a7d_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/16/20200916180548-4c85_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/16/20200916181021-3b76_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/16/20200916181021-9390_wm.jpg']"
" Bấm máy gọi cho em mua nhanh căn góc 122m2 tòa vip Park 11 Times City, full đồ đẹp giá chỉ 5.5 tỷ",,,,,,,5.5 tỷ,122 m²,07/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007105631-cbbd_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007105631-a473_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007105631-d5d3_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007105631-d1d7_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007105631-0b3c_wm.jpg']"
 Bán 20 căn hộ cơ bản về căn hộ 3 phòng ngủ tại Times City và Park Hill. 0982.591.304,,,,,,,4.1 tỷ,110 m²,06/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2019/05/07/20190507083826-150a_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2019/05/07/20190507083826-c0d2_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2019/05/07/20190507083826-e1d9_wm.jpg']"
" Bán 2PN T10 Times City, 81m2, giá rẻ. Lh 0964386188",,,,,,,3.1 tỷ,81 m²,05/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005163619-94f8_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005163619-2793_wm.jpg']"
" Bán 3PN chung cư Times City - Park Hill, 106m2, ban công Đông Nam, giá 4.55 tỷ. LH 0964386188",,,,,,,4.55 tỷ,106 m²,05/10/2020,['https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005172216-49b3_wm.jpg']
" Bán các căn 1,2,3 phòng ngủ Times City - Park Hill - Park Premium","Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Bán căn hộ chung cư,2 (phÃ²ng),,,,3.2 tỷ,83 m²,06/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/06/20201006174551-f488_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/06/20201006174551-b130_wm.jpg']"
 Bán các căn hộ 2PN chung cư Imperia Sky Garden Minh Khai 0936262111,"Imperia Sky Garden, 423, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Bán căn hộ chung cư,2 (phÃ²ng),2 (phÃ²ng),,,Thỏa thuận,82 m²,08/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/06/17/20200617145909-196e_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/06/17/20200617145909-60fd_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/06/17/20200617145909-c8f3_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/06/17/20200617145910-b21d_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/06/17/20200617145910-41be_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/06/17/20200617145910-79f4_wm.jpg']"
" Bán căn 02PN, tầng trung, view thoáng tòa Park 2 Times City, 80m2, giá chỉ 3.35 tỷ, bao phí","Dự án Times City - Park Hill, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",Bán căn hộ chung cư,2 (phÃ²ng),2 (phÃ²ng),,Bắc,3.35 tỷ,80 m²,01/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001113018-175e_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001113021-db52_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001113033-0d55_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001113033-bf1b_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001113033-02c6_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001113033-1050_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001113034-f1d7_wm.jpg']"
" Bán căn 109m, 02 logia view nhạc nước tại tòa T3 Times City giá 3.48 tỷ, bao phí. Lh 0977088770",,,,,,,3.48 tỷ,109.2 m²,01/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2019/10/14/20191014142355-5e78_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2019/10/14/20191014142355-1347_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2019/10/14/20191014142355-d80d_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2019/10/14/20191014142356-c58b_wm.jpg']"
" Bán căn 125m2 Ancora Lương Yên, view sông Hồng, giá 6.7 tỷ",,,,,,,6.7 tỷ,125 m²,02/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2019/12/19/20191219140457-ee4b_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2019/06/19/20190619190314-c06b_wm.jpg']"
" Bán căn 139m2 cuối cùng tại Green Pearl, giá chỉ từ 33.4triệu/m2, nhận nhà ngay 0911056336",,,,,,,33.9 triệu/m²,139 m²,05/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2019/09/30/20190930145026-2116_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2019/09/30/20190930145031-090f_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2019/09/30/20190930145142-106f_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2019/09/30/20190930145143-c960_wm.jpg']"
" Bán căn 151m2 rộng nhất Park Hill, bán gấp giá 6,5 tỷ",,,,,,,6.5 tỷ,151 m²,03/10/2020,['https://file4.batdongsan.com.vn/resize/745x510/2020/04/06/20200406164147-cb62_wm.jpg']
" Bán căn 162m2 - 4PN Ancora Lương Yên, view sông Hồng, giá 9.2 tỷ",,,,,,,9.2 tỷ,162 m²,05/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2019/12/13/20191213172458-181b_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2019/11/28/20191128105510-6358_wm.jpg']"
" Bán căn 162m2, giá 9.2 tỷ, Sun Grand City Ancora Lương Yên",,,,,,,8.7 tỷ,162 m²,02/10/2020,[]
" Bán căn 1PN Times City, 53m2, giá 1,95 tỷ bao phí, LH: 0976912495",,,,,,,1.95 tỷ,53 m²,05/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/09/14/20200914091113-dd04_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/14/20200914091113-6ff8_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/14/20200914091113-7b04_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/14/20200914091114-6a57_wm.jpg']"
" Bán căn 2 căn 2PN Ancora Lương Yên, DT 90m2 và 100m2 tầng thấp, giá 4,9 tỷ",,,,,,,4.9 tỷ,90 m²,02/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/03/03/20200303153000-5e13_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/03/03/20200303153000-1da8_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/03/03/20200303153000-7abd_wm.jpg']"
" BÁN CĂN 2 NGỦ - 80M TẠI P9- PARKPREMIUM , SỔ ĐỎ CHÍNH CHỦ GIÁ 3.6 TỶ BAO PHÍ ","Dự án Times City, Hai Bà Trưng, Hà Nội",Bán căn hộ chung cư,2 (phÃ²ng),2 (phÃ²ng),,Đông,3.6 tỷ,80 m²,08/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/08/20201008094030-3364_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/08/20201008094019-9a5b_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/08/20201008094020-755e_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/08/20201008094021-577a_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/08/20201008094022-419b_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/08/20201008094025-77ae_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/08/20201008094029-9762_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/08/20201008094029-3954_wm.jpg']"
" Bán căn 2 ngủ xinh xinh, hướng Nam tầng trung, giá 2.7 tỷ bao phí tòa Park Hill. Ảnh thật",,,,,,,2.7 tỷ,64 m²,06/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/06/20201006114152-45e1_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/06/20201006114414-1dea_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/06/20201006114436-7970_wm.jpg']"
" Bán căn 2 ngủ xinh xinh, hướng Nam tầng trung, giá 2.7 tỷ bao phí tòa Park Hill. Ảnh thật",,,,,,,2.7 tỷ,75 m²,02/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/09/23/20200923090110-bdad_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/23/20200923090117-a742_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/09/23/20200923090124-1f9d_wm.jpg']"
 Bán căn 2 phòng ngủ thiết kế độc nhất tại chung cư Park Premium. LH 0964386188,,,,,,,3.7 tỷ,79 m²,03/10/2020,['https://file4.batdongsan.com.vn/resize/745x510/2020/10/03/20201003114830-e76a_wm.jpg']
" Bán căn 2 phòng ngủ, diện tích 106m2, giá 4.21 tỷ bao phí tại hướng tòa T10 Vinhomes Times City",,,,,,,4.21 tỷ,106 m²,05/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005164459-84bb_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005164500-8e00_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005164458-a87a_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005164458-f918_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005164459-12b8_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005164459-5466_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005164500-3735_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/05/20201005164500-7ef8_wm.jpg']"
" Bán căn 2 phòng ngủ, diện tích 67.5m2, giá 3 tỷ bao phí tại toà Park3 Vinhomes Times City Park Hill",,,,,,,3 tỷ,67.5 m²,01/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001143544-a588_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001143546-2319_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001143546-0a5b_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/01/20201001143621-4e80_wm.jpg']"
" Bán căn 2 phòng ngủ, diện tích 68m2, giá 3 tỷ bao phí tại toà Park 3 Vinhomes Times City Park Hill",,,,,,,3 tỷ,68 m²,07/10/2020,"['https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007101117-1f6e_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007101117-64c2_wm.jpg', 'https://file4.batdongsan.com.vn/resize/745x510/2020/10/07/20201007101117-bcf9_wm.jpg']"
